epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.81144,2.89025,5.33104,4.48564,0,0,0,0,3.37861,5.31853,4.15926,0,0,0
2,2.37074,3.41901,5.53968,4.1735,0,0,0,0,3.37863,5.31868,4.15889,1.17822e-06,1.17822e-06,1.17822e-06
3,2.91967,4.04235,5.69501,4.23456,0,0,0,0,3.37863,5.31868,4.15883,2.33288e-06,2.33288e-06,2.33288e-06
4,3.58275,3.49594,5.57449,4.2551,0,0,0,0,3.37863,5.31868,4.15854,3.46397e-06,3.46397e-06,3.46397e-06
5,4.38456,3.59096,5.63559,4.28547,0,0,0,0,3.37848,5.31896,4.15842,4.5715e-06,4.5715e-06,4.5715e-06
6,5.15189,3.20059,5.69586,4.23829,0,0,0,0,3.37926,5.3202,4.15829,5.65548e-06,5.65548e-06,5.65548e-06
7,5.98119,3.04816,5.769,4.23448,0,0,0,0,3.37881,5.32024,4.15831,6.71588e-06,6.71588e-06,6.71588e-06
8,6.74248,3.09477,5.49722,4.23998,0,0,0,0,3.37874,5.32033,4.15845,7.75273e-06,7.75273e-06,7.75273e-06
9,7.62125,3.45085,5.83614,4.42843,0,0,0,0,3.37901,5.32118,4.15807,8.76602e-06,8.76602e-06,8.76602e-06
10,8.43976,3.50581,5.62806,4.36717,0,0,0,0,3.37901,5.32118,4.1582,9.75574e-06,9.75574e-06,9.75574e-06
11,9.20295,3.29167,5.57935,4.42152,0,0,0,0,3.37891,5.32064,4.15791,1.07219e-05,1.07219e-05,1.07219e-05
12,9.99039,3.06096,5.4572,4.23045,0,0,0,0,3.37891,5.32064,4.15796,1.16645e-05,1.16645e-05,1.16645e-05
13,10.8751,3.28522,5.40842,4.25313,0,0,0,0,3.37965,5.32203,4.158,1.25835e-05,1.25835e-05,1.25835e-05
14,11.6632,3.37599,5.59518,4.2759,0,0,0,0,3.38287,5.3234,4.15771,1.3479e-05,1.3479e-05,1.3479e-05
15,12.4727,3.56247,5.45669,4.21653,0,0,0,0,3.38272,5.32353,4.15767,1.43509e-05,1.43509e-05,1.43509e-05
16,13.2422,3.33225,5.62593,4.20576,0,0,0,0,3.38293,5.3227,4.15784,1.51993e-05,1.51993e-05,1.51993e-05
17,14.0798,2.94342,5.4639,4.28149,0,0,0,0,3.38276,5.32081,4.15775,1.60241e-05,1.60241e-05,1.60241e-05
18,14.8634,2.25132,5.52697,4.24296,0,0,0,0,3.38276,5.32081,4.15775,1.68253e-05,1.68253e-05,1.68253e-05
19,15.7022,2.8041,5.29546,4.2716,0,0,0,0,3.38285,5.31968,4.15778,1.7603e-05,1.7603e-05,1.7603e-05
20,16.4655,3.55892,5.81912,4.27713,0,0,0,0,3.38285,5.31968,4.15778,1.83571e-05,1.83571e-05,1.83571e-05
21,17.2973,3.37138,5.3666,4.34332,0,0,0,0,3.38291,5.31995,4.15735,1.90876e-05,1.90876e-05,1.90876e-05
22,18.0047,3.493,5.51116,4.25406,0,0,0,0,3.38291,5.31995,4.15735,1.97946e-05,1.97946e-05,1.97946e-05
23,18.8873,3.04293,5.66065,4.23244,0,0,0,0,3.38296,5.31911,4.15744,2.0478e-05,2.0478e-05,2.0478e-05
24,19.6123,3.18654,5.64777,4.42234,0,0,0,0,3.38296,5.31911,4.15744,2.11379e-05,2.11379e-05,2.11379e-05
25,20.5135,3.13097,5.64309,4.35403,0,0,0,0,3.38285,5.32092,4.15733,2.17741e-05,2.17741e-05,2.17741e-05
26,21.2105,3.13757,5.50659,4.2401,0,0,0,0,3.38285,5.32092,4.15733,2.23869e-05,2.23869e-05,2.23869e-05
27,22.1837,3.09865,5.54805,4.25157,0,0,0,0,3.38368,5.32376,4.15701,2.2976e-05,2.2976e-05,2.2976e-05
28,22.9158,3.69088,5.58875,4.35049,0,0,0,0,3.38368,5.32376,4.15701,2.35417e-05,2.35417e-05,2.35417e-05
29,23.811,2.96729,5.45389,4.23927,0,0,0,0,3.38386,5.32021,4.15746,2.40837e-05,2.40837e-05,2.40837e-05
30,24.5227,3.35066,5.50888,4.27181,0,0,0,0,3.38386,5.32021,4.15746,2.46022e-05,2.46022e-05,2.46022e-05
31,25.4464,2.80424,5.64693,4.23602,0,0,0,0,3.3837,5.32048,4.15754,2.50971e-05,2.50971e-05,2.50971e-05
32,26.1782,2.92921,5.43562,4.26242,0,0,0,0,3.3837,5.32048,4.15754,2.55685e-05,2.55685e-05,2.55685e-05
