epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.501543,2.89526,5.17893,4.236,0,0,0,0,3.23505,5.37702,4.1608,0,0,0
2,1.1024,3.36677,5.49731,4.18848,0,0,0,0,3.2444,5.38345,4.16873,1.17822e-06,1.17822e-06,1.17822e-06
3,1.69487,3.94838,5.56608,4.18633,0,0,0,0,3.23135,5.38558,4.16746,2.33288e-06,2.33288e-06,2.33288e-06
4,2.24075,3.41528,5.47963,4.18973,0,0,0,0,3.21855,5.39224,4.16593,3.46397e-06,3.46397e-06,3.46397e-06
5,3.08427,3.63364,5.57924,4.27063,0,0,0,0,3.22328,5.40918,4.17328,4.5715e-06,4.5715e-06,4.5715e-06
6,3.84495,3.12132,5.62556,4.22137,0,0,0,0,3.22941,5.4142,4.17121,5.65548e-06,5.65548e-06,5.65548e-06
7,4.59885,3.08207,5.67375,4.26472,0,0,0,0,3.229,5.41456,4.17717,6.71588e-06,6.71588e-06,6.71588e-06
8,5.3827,3.09671,5.35034,4.16835,0,0,0,0,3.23885,5.44154,4.19424,7.75273e-06,7.75273e-06,7.75273e-06
9,6.18166,3.38883,5.69122,4.31736,0,0,0,0,3.21336,5.43025,4.20124,8.76602e-06,8.76602e-06,8.76602e-06
10,6.96492,3.49979,5.49808,4.19222,0,0,0,0,3.21394,5.43684,4.20932,9.75574e-06,9.75574e-06,9.75574e-06
11,7.70849,3.27711,5.44879,4.26924,0,0,0,0,3.21765,5.40812,4.21035,1.07219e-05,1.07219e-05,1.07219e-05
12,8.48464,2.99613,5.41505,4.18253,0,0,0,0,3.25844,5.43613,4.20975,1.16645e-05,1.16645e-05,1.16645e-05
13,9.28672,3.23641,5.35076,4.18236,0,0,0,0,3.23854,5.45014,4.21027,1.25835e-05,1.25835e-05,1.25835e-05
